Group,Nom,Nationalite,DDN,Titre,TypeDesign,TypeDesignCode,DDC,Acquisition,Dimensions,MST,DCU,DAU,TypeAcquisition,Sexe,Image,No Capital Nationalité,flag,
4060,VISUEL DESIGN JEAN WIDMER,Suisse,,Affiche Achille Castiglioni,Design Graphique/ Illustration,2,1985,Inscription à l'inventaire en 1992,"69,8 x 50 cm",Impression offset,1985,1992,Inscription,Studio/ Group,graphic.png,suisse,switzerland.png,
4061,VISUEL DESIGN JEAN WIDMER,Suisse,,Affiche Achille Castiglioni,Design Graphique/ Illustration,2,1985,Inscription à l'inventaire en 1992,"69,8 x 50 cm",Impression offset,1985,1992,Inscription,Studio/ Group,graphic.png,suisse,switzerland.png,
4062,VISUEL DESIGN JEAN WIDMER,Suisse,,Affiche Achille Castiglioni,Design Graphique/ Illustration,2,1985,Inscription à l'inventaire en 1992,"69,8 x 49,9 cm",Impression offset,1985,1992,Inscription,Studio/ Group,graphic.png,suisse,switzerland.png,
4063,VISUEL DESIGN JEAN WIDMER,Suisse,,Affiche Achille Castiglioni,Design Graphique/ Illustration,2,1985,Inscription à l'inventaire en 1992,"69,8 x 50 cm",Impression offset,1985,1992,Inscription,Studio/ Group,graphic.png,suisse,switzerland.png,
4064,VISUEL DESIGN JEAN WIDMER,Suisse,,Affiche Achille Castiglioni,Design Graphique/ Illustration,2,1985,Inscription à l'inventaire en 1992,"69,8 x 50 cm",Impression offset,1985,1992,Inscription,Studio/ Group,graphic.png,suisse,switzerland.png,
4065,Marie-Christine DORNER,Française,"1960, Strasbourg (Bas-Rhin, France)",Tabouret S'il vous plaît,Mobilier,1,1986,Achat à l'artiste en 1997,78 x 35 x 40 cm,Structure et assise en tôle d'acier plié. Piétement en tube d'acier,1986,1997,Achat,Femme,mobilier.png,française,france.png,
4066,Roman CIESLEWICZ,Française depuis 1971 (Polonaise à la naissance),"1930, Lwow (Pologne) - 1996, Malakoff (Hauts-de-Seine, France)",Affiche Musée Picasso Paris,Design Graphique/ Illustration,2,1986,Achat à l'artiste en 1991,160 x 120 cm,Impression offset,1986,1991,Achat,Homme,graphic.png,française depuis 1971 (Polonaise à la naissance),fra-pol.png,
4067,Roman CIESLEWICZ,Française depuis 1971 (Polonaise à la naissance),"1930, Lwow (Pologne) - 1996, Malakoff (Hauts-de-Seine, France)",Affiche Les portes de l'enfer,Design Graphique/ Illustration,2,1986,Achat à l'artiste en 1991,60 x 60 cm,Impression offset,1986,1991,Achat,Homme,graphic.png,française depuis 1971 (Polonaise à la naissance),fra-pol.png,
4068,Roman CIESLEWICZ,Française depuis 1971 (Polonaise à la naissance),"1930, Lwow (Pologne) - 1996, Malakoff (Hauts-de-Seine, France)",Affiche Roman Cieslewicz + 8 jeunes affichistes,Design Graphique/ Illustration,2,1986,"Achat de l'Etat, 1991. Attribution au Centre Pompidou, Musée national d'art moderne/Centre de création industrielle, 2008","79,9 x 59,8 cm",Impression offset,1986,2008,Achat,Homme,graphic.png,française depuis 1971 (Polonaise à la naissance),fra-pol.png,
4069,Sylvain DUBUISSON,Française,"1946, Bordeaux (Gironde, France)",Pendule T2/A3,Design d'Objet,3,1986,Achat à M. René Delbove en 1994,"22 x 41 x 6,5 cm","Acier inoxydable, finition miroir poli. Diodes électroluminescentes, circuit en composite Epoxy-fibre de verre",1986,1994,Achat,Homme,objet.png,française,france.png,
4070,Mario BELLINI,Italienne,"1935, Milan (Italie)",Machine à écrire ETP 55,Design Industriel,4,1985 - 1986,Achat aux Etablissement G.L. Binckom en 1994,"18 x 42,5 x 35 cm",Boîtier en ABS. Métal,1986,1994,Achat,Homme,industrie.png,italienne,italy.png,
4071,George James SOWDEN,Britannique,"1942, Leeds (Royaume-Uni)",Liverpool chair,Mobilier,1,1986,"Don des Amis du Centre Pompidou, Groupe d’Acquisition pour le Design, 2019","89,5 x 44,5 x 53,5 cm",Bois laqué noir,1986,2019,Don,Homme,mobilier.png,britannique,uk.png,
4072,Hans HOLLEIN,Autrichienne,"1934, Vienne (Autriche) - 2014, Vienne (Autriche)","Chaise avec accoudoirs ""Perchtoldsdorf""",Mobilier,1,1986,Don de la Clarence Westbury Foundation en 2016,90 x 60 x 60 cm,Métal et cuir,1986,2016,Don,Homme,mobilier.png,autrichienne,austria.png,
4073,Jean-Michel WILMOTTE,Française,"1948, Soissons (Aisne, France)",Chaise Palais-Royal,Mobilier,1,1986,Don de l'artiste en 1997,76 x 50 x 60 cm,Structure en tube d'acier laqué. Assise et dossier en tôle d'acier perforé laqué,1986,1997,Don,Homme,mobilier.png,française,france.png,
4074,Norman FOSTER,Britannique,"1935, Manchester (Royaume-Uni)",Bureau Nomos,Mobilier,1,1986,Don de Tecno en 1992,166 x 160 x 100 cm,Structure en acier et aluminium. Plateau en lamifié,1986,1992,Don,Homme,mobilier.png,britannique,uk.png,
4075,Norman FOSTER,Britannique,"1935, Manchester (Royaume-Uni)",Table Nomos,Mobilier,1,1986,Don de Tecno en 1992,72 x 200 x 100 cm,Structure en acier et aluminium. Plateau en verre ou lamifié,1986,1992,Don,Homme,mobilier.png,britannique,uk.png,
4076,Norman FOSTER,Britannique,"1935, Manchester (Royaume-Uni)",Piètement pour table Nomos,Mobilier,1,1986,Don de Tecno en 1992,72 x 160 x 80 cm,Acier et aluminium,1986,1992,Don,Homme,mobilier.png,britannique,uk.png,
4077,Philippe NOIR,Française,"1948, ?","Chaise longue ""Arc""",Mobilier,1,1986,Don de M. Pierre Perrigault en 2017,"43 x 66,7 x 201,3 cm",Structure en métal époxy noir et Batilyne,1986,2017,Don,Homme,mobilier.png,française,france.png,
4078,Philippe STARCK,Française,"1949, Paris (Ile-de-France, France)",Chaise Lola Mundo,Mobilier,1,1986,Don de Driade en 1999,"48,5 x 33,5 x 53 cm
hauteur hors marge: 84,5 cm",Dossier et assise en multiplis teinté. Pieds en fonte d'aluminium. Nopes en caoutchouc,1986,1999,Don,Homme,mobilier.png,française,france.png,
4079,Philippe STARCK,Française,"1949, Paris (Ile-de-France, France)",Chaise Lola Mundo,Mobilier,1,1986,Don de l'artiste en 2005,85 x 35 x 53 cm,"Fonte d'aluminium, bois peint",1986,2005,Don,Homme,mobilier.png,française,france.png,
4080,Pierre PAULIN,Française,"1927, Paris (Ile-de-France, France) - 2009, Montpellier (Occitanie, France)",Fauteuil Boston,Mobilier,1,1986,Don de Mme Maia Paulin en 2015,"94,5 x 53,5 x 58 cm",Polypropylène injecté,1986,2015,Don,Homme,mobilier.png,française,france.png,
4081,Ettore SOTTSASS,Italienne (Autrichienne à la naissance),"1917, Innsbruck (Autriche) - 2007, Milan (Italie)",Table avec étagères,Design Graphique/ Illustration,2,1986,Don de l'artiste en 1999,"34,6 x 28 cm",Crayon sur papier,1986,1999,Don,Homme,graphic.png,italienne (Autrichienne à la naissance),ita-aus.png,
4082,George James SOWDEN,Britannique,"1942, Leeds (Royaume-Uni)",Dessin pour décoration de surface,Design Graphique/ Illustration,2,1986,"Don des Amis du Centre Pompidou, Groupe d’Acquisition pour le Design, 2019.",35 x 50 cm,Encre noire sur carton,1986,2019,Don,Homme,graphic.png,britannique,uk.png,
4083,Henryk TOMASZEWSKI,Polonaise,"1914, Varsovie (Pologne) - 2005, Varsovie (Pologne)",Affiche Teresa Pagowska,Design Graphique/ Illustration,2,1986,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,"68 x 98,5 cm",Impression sur papier,1986,2017,Don,Homme,graphic.png,polonaise,poland.png,
4084,Henryk TOMASZEWSKI,Polonaise,"1914, Varsovie (Pologne) - 2005, Varsovie (Pologne)",Affiche Edward II,Design Graphique/ Illustration,2,1986,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,98 x 65 cm,Impression sur papier,1986,2017,Don,Homme,graphic.png,polonaise,poland.png,
4085,Jean-Philippe LENCLOS,Française,"1938, Béthune (Pas-de-Calais, France)","Etudes originales des couleurs et marquages de la nouvelle gamme ""performance"" Ski alpin-chaussure-fixation-Salomon",Design Graphique/ Illustration,2,1986,"Don du designer coloriste, 2010","30 x 42,5 cm","Stylo, feutre collage sur papier",1986,2010,Don,Homme,graphic.png,française,france.png,
4086,Jean-Philippe LENCLOS,Française,"1938, Béthune (Pas-de-Calais, France)","Etudes originales des couleurs et marquages de la nouvelle gamme ""performance"" Ski alpin-chaussure-fixation-Salomon",Design Graphique/ Illustration,2,1986,"Don du designer coloriste, 2010","30 x 43,5 x 2 cm","crayon, feutre sur carton. collage sur carton",1986,2010,Don,Homme,graphic.png,française,france.png,
4087,Jean-Philippe LENCLOS,Française,"1938, Béthune (Pas-de-Calais, France)","Etudes originales des couleurs et marquages de la nouvelle gamme ""performance"" Ski alpin-chaussure-fixation-Salomon",Design Graphique/ Illustration,2,1986,"Don du designer coloriste, 2010","38 x 42,5 cm","crayon de couleur sur papier, collage sur carton",1986,2010,Don,Homme,graphic.png,française,france.png,
4088,Michele DE LUCCHI,Italienne,"1951, Ferrare (Italie)",Tolomeo,Design Graphique/ Illustration,2,1986,Don de l'artiste en 2004,"29,7 x 21 cm",Crayon et crayon de couleur,1986,2004,Don,Homme,graphic.png,italienne,italy.png,
4089,Michele DE LUCCHI,Italienne,"1951, Ferrare (Italie)",Tolomeo,Design Graphique/ Illustration,2,1986,Don de l'artiste en 2004,"29,7 x 21 cm",Crayon sur papier,1986,2004,Don,Homme,graphic.png,italienne,italy.png,
4090,Michele DE LUCCHI,Italienne,"1951, Ferrare (Italie)",Memphis,Design Graphique/ Illustration,2,1986,Don de l'artiste en 2004,"42, x 29,5 cm",Crayons de couleur,1986,2004,Don,Homme,graphic.png,italienne,italy.png,
4091,Paul RAND,Américaine,"1914, New York (New York, États-Unis) - 1996, New York (New York, États-Unis)",Identité graphique IBM Guildelines For Using IBM Trademarks,Design Graphique/ Illustration,2,1986,Don d' IBM en 1992,"21,6 x 28 cm",Impression offset,1986,1992,Don,Homme,graphic.png,américaine,usa.png,
4092,Philippe STARCK,Française,"1949, Paris (Ile-de-France, France)",Cahier de dessins personnel,Design Graphique/ Illustration,2,1986,Don de l'artiste en 2005,"29,5 x 20,7 cm",Papier Canson,1986,2005,Don,Homme,graphic.png,française,france.png,
4093,Richard SAPPER,Italienne (Allemande à la naissance),"1932, Munich (Allemagne) - 2015, Milan (Italie)",IBM-PC Convertible,Design Graphique/ Illustration,2,1986,Don d' IBM en 1992,22.7 x 30 cm,Encre sur papier,1986,1992,Don,Homme,graphic.png,italienne (Allemande à la naissance),ita-ger.png,
4094,Richard SAPPER,Italienne (Allemande à la naissance),"1932, Munich (Allemagne) - 2015, Milan (Italie)",IBM-PC Convertible,Design Graphique/ Illustration,2,1986,Don d' IBM en 1992,"42 x 29,5 cm",Crayon de papier sur calque,1986,1992,Don,Homme,graphic.png,italienne (Allemande à la naissance),ita-ger.png,
4095,Uwe LOESCH,Allemande,"1943, Dresde (Allemagne)",Affiche Hifivideo,Design Graphique/ Illustration,2,1986,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,"118,5 x 84 cm",Impression offset,1986,2017,Don,Homme,graphic.png,allemande,germany.png,
4096,Uwe LOESCH,Allemande,"1943, Dresde (Allemagne)",Affiche Hifivideo,Design Graphique/ Illustration,2,1986,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,"118,5 x 84 cm",Impression offset,1986,2017,Don,Homme,graphic.png,allemande,germany.png,
4097,Ettore SOTTSASS,Italienne (Autrichienne à la naissance),"1917, Innsbruck (Autriche) - 2007, Milan (Italie)",Vase Saffo,Design d'Objet,3,1986,Don de l'artiste en 1999,"hauteur: 48 cm
diamètre: 40 cm",Verre,1986,1999,Don,Homme,objet.png,italienne (Autrichienne à la naissance),ita-aus.png,
4098,Ettore SOTTSASS,Italienne (Autrichienne à la naissance),"1917, Innsbruck (Autriche) - 2007, Milan (Italie)",Vase Calice,Design d'Objet,3,1959 / 1986,Don de l'artiste en 1999,"hauteur: 47 cm
diamètre: 17 cm",Céramique,1986,1999,Don,Homme,objet.png,italienne (Autrichienne à la naissance),ita-aus.png,
4099,FACOM,Française,,Autre (Outil) 1742.2,Design d'Objet,3,1986,Don de Facom en 1992,35 x 13 cm,Acier inoxydable,1986,1992,Don,Homme,objet.png,française,france.png,
4100,Kuno PREY,Italienne,"1958, San Candido (Italie)",Pendule Tino,Design d'Objet,3,1986,Don de la Galerie Christine Diegoni-Zyman en 2010,"14 x 12,5 x 4,5 cm",Ciment. Mouvement à quartz,1986,2010,Don,Homme,objet.png,italienne,italy.png,
4101,Michele DE LUCCHI,Italienne,"1951, Ferrare (Italie)",Lampe de table Tolomeo,Design d'Objet,3,1986,Don de M. Ernesto Gismondi en 2003,65 x 85 x 20 cm,Métal,1986,2003,Don,Homme,objet.png,italienne,italy.png,
4102,Michele DE LUCCHI,Italienne,"1951, Ferrare (Italie)",Lampe à poser Tolomeo,Design d'Objet,3,1986,Don de l'artiste en 2004,"60 x 80 cm
diamètre: 20 cm
hauteur hors marge: 90 cm",Aluminium poli et anodisé et acier inoxydable,1986,2004,Don,Homme,objet.png,italienne,italy.png,
4103,Philippe STARCK,Française,"1949, Paris (Ile-de-France, France)",Fourchette Pointus,Design d'Objet,3,1986,Don de l'artiste en 2005,,Métal argenté 18/8,1986,2005,Don,Homme,objet.png,française,france.png,
4104,Philippe STARCK,Française,"1949, Paris (Ile-de-France, France)",Figurine Miss Zenzen,Design d'Objet,3,1986,Don de l'artiste en 2005,182 x 39 x 39 cm,Bois,1986,2005,Don,Homme,objet.png,française,france.png,
4105,Philippe STARCK,Française,"1949, Paris (Ile-de-France, France)",Couteau Laguiole,Design d'Objet,3,1986,Don de l'artiste en 2005,hauteur: 17 cm,Métal inox et laiton,1986,2005,Don,Homme,objet.png,française,france.png,
4106,Philippe STARCK,Française,"1949, Paris (Ile-de-France, France)",Couvert Pointus,Design d'Objet,3,1986,Don de l'artiste en 2005,27 x 17 cm (hors marge),Métal argenté 18/8,1986,2005,Don,Homme,objet.png,française,france.png,
4107,Philippe STARCK,Française,"1949, Paris (Ile-de-France, France)",Figurine Miss Zenzen,Design d'Objet,3,1986,Don de l'artiste en 2005,hauteur: 26 cm,Aluminium poli,1986,2005,Don,Homme,objet.png,française,france.png,
4108,Philippe STARCK,Française,"1949, Paris (Ile-de-France, France)",Cendrier Ray Hollis,Design d'Objet,3,1986,Don de l'artiste en 2005,"11 x 12 x 7,5 cm",Aluminium poli,1986,2005,Don,Homme,objet.png,française,france.png,
4109,Philippe STARCK,Française,"1949, Paris (Ile-de-France, France)",Couvert Pointus,Design d'Objet,3,1986,Don de l'artiste en 2005,,Métal argenté 18/8,1986,2005,Don,Homme,objet.png,française,france.png,
4110,Philippe STARCK,Française,"1949, Paris (Ile-de-France, France)",Figurine Miss Zenzen,Design d'Objet,3,1986,Don de l'artiste en 2005,hauteur: 26 cm,Aluminium poli,1986,2005,Don,Homme,objet.png,française,france.png,
4111,Philippe STARCK,Française,"1949, Paris (Ile-de-France, France)",Couvert Pointus,Design d'Objet,3,1986,Don de l'artiste en 2005,,Métal argenté 18/8,1986,2005,Don,Homme,objet.png,française,france.png,
4112,James DYSON,Britannique,"1947, Holt (Royaume-Uni)",Aspirateur G-Force,Design Industriel,4,1986,Don de Dyson en 2001,118 x 31 x 37 cm,"Corps en ABS et polycarbonate. Tuyau/tube télescopique
Technologie Dual cyclone",1986,2001,Don,Homme,industrie.png,britannique,uk.png,
4113,Luigi COLANI,Allemande,"1928, Berlin (Allemagne) - 2019, Karlsruhe (Allemagne)",Moto de course,Design Industriel,4,1986,Don de Strafor en 1992,130 x 260 x 80 cm,Polyester armé de fibre de verre,1986,1992,Don,Homme,industrie.png,allemande,germany.png,
4114,Philippe STARCK,Française,"1949, Paris (Ile-de-France, France)",Bouteille Vittel,Design Industriel,4,1986,Don de l'artiste en 2005,50 x 48 cm,Matière plastique,1986,2005,Don,Homme,industrie.png,française,france.png,
4115,Philippe STARCK,Française,"1949, Paris (Ile-de-France, France)",Autre (Appareil ménager) Smoki Christiani,Design Industriel,4,1986,Don de l'artiste en 2005,"12 x 13 x 3,5 cm",Aluminium poli,1986,2005,Don,Homme,industrie.png,française,france.png,
4116,Pierre PAULIN,Française,"1927, Paris (Ile-de-France, France) - 2009, Montpellier (Occitanie, France)",Fer à repasser Jet Line 10,Design Industriel,4,1986,Don de Calor en 1992,9 x 9 x 21 cm,ABS et métal. Poignée pliante et housse de voyage,1986,1992,Don,Homme,industrie.png,française,france.png,
4117,Richard SAPPER,Italienne (Allemande à la naissance),"1932, Munich (Allemagne) - 2015, Milan (Italie)",Ordinateur IBM-PC Convertible,Design Industriel,4,1986,Don d' IBM en 1992,7 x 31 x 37.5 cm,Boîtier en matières plastiques moulées. Écran plat à cristaux liquides,1986,1992,Don,Homme,industrie.png,italienne (Allemande à la naissance),ita-ger.png,
4118,Richard SAPPER,Italienne (Allemande à la naissance),"1932, Munich (Allemagne) - 2015, Milan (Italie)",IBM-PC Convertible,Design Industriel,4,1986,Don d' IBM en 1992,"42 x 29,7 cm",Crayon de papier et de couleur sur calque,1986,1992,Don,Homme,industrie.png,italienne (Allemande à la naissance),ita-ger.png,
4119,Richard SAPPER,Italienne (Allemande à la naissance),"1932, Munich (Allemagne) - 2015, Milan (Italie)",Ordinateur IBM-PC Convertible,Design Industriel,4,1986,Don d' IBM en 1992,"37,5 x 31 x 7 cm",Boîtier en matière plastique moulé. Écran plat à cristaux liquides,1986,1992,Don,Homme,industrie.png,italienne (Allemande à la naissance),ita-ger.png,
4120,Richard SAPPER,Italienne (Allemande à la naissance),"1932, Munich (Allemagne) - 2015, Milan (Italie)",Ordinateur IBM-PC Convertible,Design Industriel,4,1986,Don d' IBM en 1992,54 x 31 x 35 cm,Boîtier en matière plastique. Poignée en métal.,1986,1992,Don,Homme,industrie.png,italienne (Allemande à la naissance),ita-ger.png,
4121,Richard SAPPER,Italienne (Allemande à la naissance),"1932, Munich (Allemagne) - 2015, Milan (Italie)",Imprimante System Printer,Design Industriel,4,1986,Don d' IBM en 1992,31 x 21 x 17 cm,Boîtier en matière plastique moulé,1986,1992,Don,Homme,industrie.png,italienne (Allemande à la naissance),ita-ger.png,
4122,Roland ULLMANN,Allemande,"1948, Offenbach-sur-le-Main (Allemagne)",Rasoir Exact 4,Design Industriel,4,1986,Don de Braun en 1992,"15,5 x 4 x 3 cm",ABS,1986,1992,Don,Homme,industrie.png,allemande,germany.png,
4123,Richard SAPPER,Italienne (Allemande à la naissance),"1932, Munich (Allemagne) - 2015, Milan (Italie)",Ordinateur Maquette d'ordinateur IBM-PC convertible,Architecture/ Design d'Intérieur,7,1986,Don d' IBM en 1992,6 x 31 x 33.5 cm,"Bois naturel, carton , papier imprimé",1986,1992,Don,Homme,architecture.png,italienne (Allemande à la naissance),ita-ger.png,
4124,Richard SAPPER,Italienne (Allemande à la naissance),"1932, Munich (Allemagne) - 2015, Milan (Italie)",Ordinateur Maquette d'ordinateur IBM-PC Convertible,Architecture/ Design d'Intérieur,7,1986,Don d' IBM en 1992,7 x 31.5 x 37.5 cm,"Bois peint, PMMA",1986,1992,Don,Homme,architecture.png,italienne (Allemande à la naissance),ita-ger.png,
4125,Richard SAPPER,Italienne (Allemande à la naissance),"1932, Munich (Allemagne) - 2015, Milan (Italie)",Ordinateur Maquette d'ordinateur IBM-PC Convertible,Architecture/ Design d'Intérieur,7,1986,Don d' IBM en 1992,7.5 x 31.5 x 37.5 cm,"Bois peint, PMMA",1986,1992,Don,Homme,architecture.png,italienne (Allemande à la naissance),ita-ger.png,
4126,René-Jean CAILLETTE,Française,"1919, Fay-aux-Loges (Centre-Val de Loire, France) - 2004, Paris (Ile-de-France, France)",Chaise pliante RJC,Mobilier,1,1986,Donation du V.I.A./ Valorisation de l'innovation dans l'ameublement en 2010,"89 x 45,5 x 40 cm",Structure en métal chromée. Assise et dossier réversibles en MDF laqué noir (recto) et beige (verso),1986,2010,Donation,Homme,mobilier.png,française,france.png,
4127,Philippe CORENTIN,Française,"1936, Boulogne-Billancourt (Seine)",Identité graphique Galerie VIA,Design Graphique/ Illustration,2,1986,Donation du V.I.A./ Valorisation de l'innovation dans l'ameublement en 2010,,Carton,1986,2010,Donation,Homme,graphic.png,française,france.png,
4128,Philippe STARCK,Française,"1949, Paris (Ile-de-France, France)",Autre (Design graphique) Galerie VIA Place St Opportune,Design Graphique/ Illustration,2,1986,Donation du V.I.A./ Valorisation de l'innovation dans l'ameublement en 2010,,Tirages N & B sur papier 150 g,1986,2010,Donation,Homme,graphic.png,française,france.png,
4129,René-Jean CAILLETTE,Française,"1919, Fay-aux-Loges (Centre-Val de Loire, France) - 2004, Paris (Ile-de-France, France)",Croquis de la chaise RJC,Design Graphique/ Illustration,2,1986,Donation du V.I.A./ Valorisation de l'innovation dans l'ameublement en 2010,"21 x 29,7 cm",Papier,1986,2010,Donation,Homme,graphic.png,française,france.png,
4130,Xavier MATÉGOT,Française,1956,Chaise XM3,Design d'Objet,3,1986,Donation du V.I.A./ Valorisation de l'innovation dans l'ameublement en 2010,"68 x 53,5 x 59 cm",Structure en acier et aluminium. Assise en bois moulé. Dossier en mousse,1986,2010,Donation,Homme,objet.png,française,france.png,
4131,Roman CIESLEWICZ,Française depuis 1971 (Polonaise à la naissance),"1930, Lwow (Pologne) - 1996, Malakoff (Hauts-de-Seine, France)",Affiche Editions Perroquet,Design Graphique/ Illustration,2,1986,"Achat de l'Etat, 1991. Attribution au Centre Pompidou, Musée national d'art moderne/Centre de création industrielle, 2008",65 x 49 cm,Impression offset,1986,2008,Etat,Homme,graphic.png,française depuis 1971 (Polonaise à la naissance),fra-pol.png,
4132,VISUEL DESIGN JEAN WIDMER,Suisse,,Affiche Le grand Paris,Design Graphique/ Illustration,2,1986,Inscription à l'inventaire en 1992,"69,9 x 49,9 cm",Impression offset,1986,1992,Inscription,Homme,graphic.png,suisse,switzerland.png,
4133,VISUEL DESIGN JEAN WIDMER,Suisse,,Affiche Créer dans le créé,Design Graphique/ Illustration,2,1986,Inscription à l'inventaire en 1992,70 x 50 cm,Impression offset,1986,1992,Inscription,Homme,graphic.png,suisse,switzerland.png,
4134,FACOM,Française,,Chariot Servante n° 2620,Mobilier,1,1986,Don de Facom en 1992,"80,4 x 67 x 43 cm",Corps en tôle d'acier. Laque polymérisée. Tiroirs à glissière télescopique à billes de précision,1986,1992,Don,Studio/ Group,mobilier.png,française,france.png,
4135,GAROUSTE & BONETTI,Française,,Armoire Bobine,Mobilier,1,1986,Don de Strafor en 1997,"204 x 120 x 51,5 cm",Structure et rayonnages en bois de sycomore. Housse en toile de coton imprimé. Fixation en bronze patiné,1986,1997,Don,Studio/ Group,mobilier.png,française,france.png,
4136,GRAPUS,Française,,Affiche A'Circa'Moglia,Design Graphique/ Illustration,2,1986,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,67 x 96 cm,Impression offset,1986,2017,Don,Studio/ Group,graphic.png,française,france.png,
4137,GRAPUS,Française,,Affiche Apartheid,Design Graphique/ Illustration,2,1986,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,160 x 110 cm,Impression offset,1986,2017,Don,Studio/ Group,graphic.png,française,france.png,
4138,FACOM,Française,,Pince 174.3 et 174.4,Design d'Objet,3,1986,Don de Facom en 1992,"18,5 x 7 cm",Polyamide renforcé de fibre de verre teinté dans la masse,1986,1992,Don,Studio/ Group,objet.png,française,france.png,
4139,FACOM,Française,,Pince Professionnel,Design d'Objet,3,1986,Don de Facom en 1992,"17 x 5,5 cm","Pinces coupante, plate et type mécanicien forgées dans l'acier, gainées CPY",1986,1992,Don,Studio/ Group,objet.png,française,france.png,
4140,FACOM,Française,,Pince Production,Design d'Objet,3,1986,Don de Facom en 1992,"8 x 22,7 cm",Acier forgé,1986,1992,Don,Studio/ Group,objet.png,française,france.png,
4141,FACOM,Française,,Autre (Outil) n° 121,Design d'Objet,3,1986,Don de Facom en 1992,8 x 41 cm,Clé forgée dans un acier haute qualité laquée. Denture traitée par induction,1986,1992,Don,Studio/ Group,objet.png,française,france.png,
4142,FACOM,Française,,Pince 180A.CPY,Design d'Objet,3,1986,Don de Facom en 1992,6 x 25 cm,"Pièce forgée dans l'acier satiné, chromée et gainée",1986,1992,Don,Studio/ Group,objet.png,française,france.png,
4143,FACOM,Française,,Autre (Outil) 838.S25,Design d'Objet,3,1986,Don de Facom en 1992,"2,5 x 17,5 x 4,5 cm",Polyamide renforcé de fibre de verre,1986,1992,Don,Studio/ Group,objet.png,française,france.png,
4144,FACOM,Française,,Autre (Outil) 998 A,Design d'Objet,3,1986,Don de Facom en 1992,"largeur: 46,5 cm",Acier forgé et tube d'acier laqué. Poignée en néoprène,1986,1992,Don,Studio/ Group,objet.png,française,france.png,
4145,SWATCH,Suisse,,Montre Aqua Dream,Design d'Objet,3,1986,Don de Swatch en 1992,"hauteur: 20 cm
diamètre: 2,5 cm",Boîtier en ABS moulé par micro-injection. Bracelet en polychlorure de vinyle souple,1986,1992,Don,Studio/ Group,objet.png,suisse,switzerland.png,
4146,SWATCH,Suisse,,Montre Jet-Black,Design d'Objet,3,1986,Don de Swatch en 1992,"hauteur: 22 cm
diamètre: 7 cm",Boîtier en ABS. Bracelet en tissu,1986,1992,Don,Studio/ Group,objet.png,suisse,switzerland.png,
4147,SWATCH,Suisse,,Montre Nautilus,Design d'Objet,3,1986,Don de Swatch en 1992,"hauteur: 23 cm
diamètre: 3,5 cm",Boîtier en ABS moulé par micro-injection. Bracelet en polychlorure de vinyle souple,1986,1992,Don,Studio/ Group,objet.png,suisse,switzerland.png,
4148,VIGNELLI DESIGN,Italienne,,Tasse Prisma Radius,Design d'Objet,3,1986,Don de Massimo et Lella Vignelli en 2009,"hauteur: 11 cm
diamètre: 7 cm",Céramique grise,1986,2009,Don,Studio/ Group,objet.png,italienne,italy.png,
4149,VIGNELLI DESIGN,Italienne,,Assiette à dessert Prisma Radius,Design d'Objet,3,1986,Don de Massimo et Lella Vignelli en 2009,"hauteur: 2,5 cm
diamètre: 19 cm",Céramique grise,1986,2009,Don,Studio/ Group,objet.png,italienne,italy.png,
4150,STUDIO NAÇO,Française,,Radio Bianca M,Design Industriel,4,1986,Don du Studio Naço architectes en 1992,"32 x 13,5 x 32 cm",Fonte d'aluminium poli,1986,1992,Don,Studio/ Group,industrie.png,française,france.png,
4151,GRAPUS,Française,,Autre (Design graphique) Habiter 86,Design Graphique/ Illustration,2,1986,Donation du V.I.A./ Valorisation de l'innovation dans l'ameublement en 2010,"21 x 29,5 cm",,1986,2010,Donation,Studio/ Group,graphic.png,française,france.png,
4152,GRAPUS,Française,,Autre (Design graphique) Paris Milano,Design Graphique/ Illustration,2,1986,Donation du V.I.A./ Valorisation de l'innovation dans l'ameublement en 2010,18 x 18 cm,,1986,2010,Donation,Studio/ Group,graphic.png,française,france.png,
4153,VISUEL DESIGN JEAN WIDMER,Suisse,,Affiche Grands projets 79/89,Design Graphique/ Illustration,2,1986,Inscription à l'inventaire en 1992,"69,7 x 50 cm",Impression offset,1986,1992,Inscription,Studio/ Group,graphic.png,suisse,switzerland.png,
4154,VISUEL DESIGN JEAN WIDMER,Suisse,,Affiche Grands projets 79/89,Design Graphique/ Illustration,2,1986,Inscription à l'inventaire en 1992,"70 x 49,9 cm",Impression offset,1986,1992,Inscription,Studio/ Group,graphic.png,suisse,switzerland.png,
4155,VISUEL DESIGN JEAN WIDMER,Suisse,,Affiche Joze Plecnik architecte 1872-1957,Design Graphique/ Illustration,2,1986,Inscription à l'inventaire en 1992,"69,7 x 51 cm",Impression offset contrecollée sur carton épais,1986,1992,Inscription,Studio/ Group,graphic.png,suisse,switzerland.png,
