Group,Nom,Nationalite,DDN,Titre,TypeDesign,TypeDesignCode,DDC,Acquisition,Dimensions,MST,DCU,DAU,TypeAcquisition,Sexe,Image,No Capital Nationalité,flag,
557,Anne DANGAR,Australienne,"1885, Kemsey (Australie) - 1951, Sablons (Auvergne-Rhône-Alpes, France)",Plat à tête de femme,Design d'Objet,3,1937 - 1938,Don de M. Albert Gleizes en 1953,"hauteur: 3,3 cm
diamètre: 46,3 cm",Terre cuite vernissée,1938,1953,Don,Femme,objet.png,australienne,australia.png,
558,Lina ZERVUDAKI,Française (Grecque à la naissance),"1890, Athènes (Grèce) - 1950",Berceau,Design d'Objet,3,vers 1938,"Fonds d'Acquisition Bonpoint, amis du Centre Pompidou, 2022",46 x 97 x 53 cm,Métal laqué polychrome,1938,2022,Fonds,Femme,objet.png,française (Grecque à la naissance),fra-gre.png,
559,"Alvar AALTO, Otto KORHONEN",Finlandaise,,Fauteuil Kakkonen Finmar,Mobilier,1,1938,Achat à M. Marc Hotermans en 2014,"69,5 x 52 x 56,5 cm",Bouleau teinté,1938,2014,Achat,Homme,mobilier.png,finlandaise,finland.png,
560,Gio PONTI,Italienne,"1891, Milan (Italie) - 1979, Milan (Italie)",Chaise,Mobilier,1,1936 - 1938,Achat à la Cristiani Loft & Art en 2002,81 x 41 x 45 cm,"Aluminium, skaï, caoutchouc, bakélite",1938,2002,Achat,Homme,mobilier.png,italienne,italy.png,
561,Giuseppe PAGANO,Italienne,"1896, Parenzo (Italie) - 1945, ?",Fauteuil,Mobilier,1,1938,Achat à la Zebra Modernariato e design en 2002,71 x 61 x 68 cm,Structure en hêtre cintré et assise en corde tressée,1938,2002,Achat,Homme,mobilier.png,italienne,italy.png,
562,Hans CORAY,Suisse,"1906, Zurich (Suisse) - 1991, Zurich (Suisse)",Chaise Landi,Mobilier,1,1938,Achat à M. Alexander von Vegesack en 1993,75 x 49 x 60 cm,"Tube d'aluminium cintré, alliage d'aluminium perforé",1938,1993,Achat,Homme,mobilier.png,suisse,switzerland.png,
563,Hans CORAY,Suisse,"1906, Zurich (Suisse) - 1991, Zurich (Suisse)",Chaise Landi,Mobilier,1,1938,Achat à M. Alexander von Vegesack en 1993,75 x 49 x 60 cm,"Tube aluminium cintré, alliage d'aluminium perforé",1938,1993,Achat,Homme,mobilier.png,suisse,switzerland.png,
564,Hans CORAY,Suisse,"1906, Zurich (Suisse) - 1991, Zurich (Suisse)",Chaise Landi,Mobilier,1,1938,Achat à M. Alexander von Vegesack en 1993,75 x 49 x 60 cm,"Tube d'aluminium cintré, alliage d'aluminium perforé",1938,1993,Achat,Homme,mobilier.png,suisse,switzerland.png,
565,Hans BELLMER,Française (Allemande à la naissance),"1902, Kattowitz (Allemagne) - 1975, Paris (Ile-de-France, France)",Livre Les Jeux de la Poupée,Design Graphique/ Illustration,2,[1935 - 1938],Achat à M. et Mme Hans Bihl-Bellemer en 1996,"12,5 x 9,5 cm",,1938,1996,Achat,Homme,graphic.png,française (Allemande à la naissance),fra-ger.png,
566,Alvar AALTO,Finlandaise,"1898, Kuortane (Finlande) - 1976, Helsinki (Finlande)",Tabouret,Mobilier,1,1938,"Don des Amis du Centre Pompidou, Groupe d’Acquisition pour le Design, 2019.","hauteur: 45 cm
diamètre: 38 cm",Bois de bouleau,1938,2019,Don,Homme,mobilier.png,finlandaise,finland.png,
567,Robert MALLET-STEVENS,Française,"1886, Paris (France) - 1945, Paris (France)",Chaise,Mobilier,1,vers 1938,Don de la Galerie Doria en 2018,82 x 43 x 43 cm,"Chêne clair, métal nickelé, cuir noir",1938,2018,Don,Homme,mobilier.png,française,france.png,
